avg_price,closed_price,datetime,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,name,open_price,rarity,volume,wa_price
10.0,10.0,2021-02-13,10.0,12.0,6028682aecdd910025cab5ab,10.0,10.0,10.0,5.0,12.0,Bore,10.0,Rare,1.0,10.0
10.0,10.0,2021-02-12,6.0,10.0,60271688ecdd910025c9ad98,10.0,10.0,10.0,0.0,8.2,Breach Loader,10.0,Rare,1.0,10.0
2.0,2.0,2021-02-10,2.0,2.0,602473e3ecdd910023c97967,2.0,2.0,2.0,0.0,2.0,Burdened Magazine,2.0,Rare,2.0,2.0
19.0,19.0,2021-02-13,9.0,22.0,6028680decdd910023cc6672,19.0,19.0,19.0,5.0,19.1,Buzz Kill,19.0,Rare,1.0,19.0
55.0,55.0,2021-02-10,25.0,55.0,602473c7ecdd910024c93a74,55.0,55.0,55.0,10.0,41.8,Calculated Redirection,55.0,Common,1.0,55.0
12.5,15.0,2021-02-13,7.0,20.0,6028684fecdd910022cbd15b,15.0,12.5,10.0,3.0,13.0,Calm & Frenzy,10.0,Rare,2.0,12.5
12.0,13.0,2021-02-13,10.0,14.0,60286829ecdd910025cab597,14.0,11.5,10.0,0.0,10.9,Capacitance,14.0,Rare,4.0,11.75
15.0,15.0,2021-02-13,8.0,15.0,6028684becdd910022cbd090,15.0,15.0,15.0,0.0,13.1,Cataclysmic Continuum,15.0,Rare,3.0,15.0
10.0,10.0,2021-02-05,10.0,20.0,601ddc60ecdd910025c2d5f7,10.0,10.0,10.0,0.0,14.3,Catapult,10.0,Rare,1.0,10.0
12.0,10.0,2021-02-13,8.0,15.0,6028683aecdd910025cab867,14.0,10.0,10.0,0.0,13.1,Celestial Stomp,14.0,Rare,7.0,11.429
15.0,15.0,2021-02-12,10.0,15.0,60271691ecdd910024cb3129,15.0,15.0,15.0,0.0,13.2,Chaos Sphere,15.0,Rare,1.0,15.0
4.0,4.0,2021-02-11,2.0,4.0,6025c532ecdd910024ca39df,4.0,4.0,4.0,0.0,3.4,Charged Shell,4.0,Uncommon,1.0,4.0
